,Code Pays,Pays,Importations de Champagne (€),Importations de vin ($),Part de Vin dans la consommation d'alcool (%),Importations totales en % du PIB,Nombre annuel de touristes,Population totale,Nombre d'expatriés français,PIB par habitant en PPA,Taux de pauvreté (%),Taux d'inscription dans le supérieur (%),Global Peace Index,Pourcentage De Musulmans (%),Distance avec la France (km),Taxes de Douane (%)
101,NOR,NORVÈGE,17 438 447,"$507,877,000",36.7,33.24659585324578,5944750.0,5310154.8,5 605,64866.76594277846,"12,2(2015)",82.19670867919922,1.5059999999999998,.2,1342.89,0.0
102,PAK,PAKISTAN,2 777,,,18.306563012544956,,212244700.4,525,4708.393781666641,"24,3(2015)",9.890179872512814,3.1032,.5,5932.586,90.0
103,PAN,PANAMA,2 585 016,"$57,819,000",3.5,43.30055824767958,2469250.0,4176382.6,1 643,29920.420325916224,"22,1(2016)",47.7993583679199,1.8462,.1,8671.104,10.0
104,PRY,PARAGUAY,188 192,"$31,682,000",17.4,32.747513133854525,4403250.0,6955634.8,1 159,12796.263750723369,"26,4(2017)",,2.0232,.1,10168.73,19.0
105,PER,PÉROU,833 658,"$33,874,000",8.1,22.603881653234307,5092250.0,31968381.6,3 576,12575.914932206797,"20,5",70.9354248046875,2.0276,.1,10268.11,6.0
106,PHL,PHILIPPINES,2 436 892,"$23,274,000",0.4,37.82292352886988,7004250.0,106637166.8,3 244,8444.737937939977,"21,6(2015)",35.4754600524902,2.5143999999999997,11,10751.64,5.0
107,POL,POLOGNE,6 918 372,"$367,661,000",7.8,50.15179265272435,84685250.0,37967188.0,6 104,31800.938476518764,"14,8(2017)",68.159029006958,1.6242,.1,1368.178,
108,PRT,PORTUGAL,12 602 840,"$185,961,000",61.5,41.1924142971679,15537750.0,10300280.2,17 245,34124.025664519475,"17,3(2017)",65.19620513916017,1.3214000000000001,.4,1452.86,
109,PRI,PORTO RICO,7 859 955,,,43.98704295022366,4780250.0,3262608.0,,35074.89008654074,,97.4992523193359,,,6916.064,
110,QAT,QATAR,8 834 230,"$11,936,000",10.2,39.0186483949645,2287375.0,2774783.8,4 639,90340.3462696205,,17.97639026641844,1.674,.5,4981.916,100.0
111,ROU,ROUMANIE,5 462 591,"$81,006,000",28.1,43.76303498355239,11421000.0,19484544.6,3 800,28986.342251555954,"23,5(2017)",49.9972095489502,1.5538,1,,
112,RWA,RWANDA,467 876,,0.2,34.66572858051049,1573000.0,12306181.0,375,2106.2485968078695,"39,1(2013)",7.000589966773988,2.1456,.8,6253.41,25.0
113,KNA,SAINT-KITTS-ET-NEVIS,67 891,,6.5,,1158500.0,52425.8,,27298.41511008575,,,,,6760.687,25.0
114,LCA,SAINTE-LUCIE,1 080 342,,13.2,,1099250.0,181859.4,1 019,14684.518346699264,"25,0(2016)",16.92194385528564,,.1,6903.772,30.0
115,VCT,SAINT-VINCENT-ET-LES GRENADINES,230 116,,3.6,,319500.0,110208.6,,12636.82041488419,,,,,6989.701,5.0
116,SMR,SAINT-MARIN,51 624,,,144.57688998973765,1928750.0,33752.0,,60187.43801830819,,48.983819325765005,,.1,951.0759,
117,SEN,SÉNÉGAL,975 817,,34.1,36.23539301402298,1297500.0,15861496.8,21 712,3334.7846360001813,"46,7(2011)",12.47061004638672,1.9096,.1,4217.159,20.0
118,SYC,SEYCHELLES,870 948,,22.4,97.94614786346804,387000.0,96673.8,434,27143.67211478459,"39,3(2013)",17.794013786315922,,.1,7855.244,0.0
119,SLE,SIERRA LEONE,13 396,,1.1,43.287191479834796,64000.0,7651522.8,,1685.6883539961175,"52,9(2011)",,1.7754,,4724.351,20.0
